name,type,start_time,duration,"data"
"RX","data",0.016572602,0.000989582,0x03
"RX","data",0.01761427,0.000989582,0x00
"RX","data",0.018655952,0.000989582,0x00
"RX","data",0.01969763,0.000989582,0x00
"RX","data",0.020739308,0.000989582,0x0E
"RX","data",0.021780986,0.000989582,0x00
"RX","data",0.02282266,0.000989582,0x01
"RX","data",0.023864332,0.000989582,0x52
"RX","data",0.024906004,0.000989582,0x00
"RX","data",0.025947692,0.000989582,0xF0
"RX","data",0.026989368,0.000989582,0x01
"RX","data",0.028031042,0.000989582,0x52
"RX","data",0.029072714,0.000989582,0x06
"RX","data",0.03011434,0.000989582,0x11
"RX","data",0.031156074,0.000989582,0x4D
"RX","data",0.032197746,0.000989582,0x10
"RX","data",0.03323943,0.000989582,0xB5
"RX","data",0.034281098,0.000989582,0x10
"RX","data",0.035322764,0.000989582,0x99
"RX","data",0.036364456,0.000989582,0xFC
"RX","data",0.03740613,0.000989582,0x86
"TX","data",0.059571406,0.000989582,0x03
"TX","data",0.060626258,0.000989582,0x00
"TX","data",0.06168128,0.000989582,0x00
"TX","data",0.062736354,0.000989582,0x00
"TX","data",0.06379133,0.000989582,0x1D
"TX","data",0.06484611,0.000989582,0x01
"TX","data",0.065901208,0.000989582,0x00
"TX","data",0.066956316,0.000989582,0x01
"TX","data",0.06801139,0.000989582,0x00
"TX","data",0.069066302,0.000989582,0x01
"TX","data",0.070121366,0.000989582,0x52
"TX","data",0.071176394,0.000989582,0x00
"TX","data",0.072231554,0.000989582,0xFF
"TX","data",0.07328646,0.000989582,0xFF
"TX","data",0.07434151,0.000989582,0xF0
"TX","data",0.075396506,0.000989582,0x01
"TX","data",0.076451502,0.000989582,0x00
"TX","data",0.077506262,0.000989582,0x00
"TX","data",0.07856137,0.000989582,0x52
"TX","data",0.079616282,0.000989582,0x06
"TX","data",0.080671176,0.000989582,0xFF
"TX","data",0.081726312,0.000989582,0xFF
"TX","data",0.082781488,0.000989582,0x11
"TX","data",0.08383641,0.000989582,0x4D
"TX","data",0.084891502,0.000989582,0x00
"TX","data",0.085946516,0.000989582,0x00
"TX","data",0.08700153,0.000989582,0x10
"TX","data",0.088056568,0.000989582,0xB5
"TX","data",0.08911173,0.000989582,0x00
"TX","data",0.090166856,0.000989582,0x00
"TX","data",0.091221806,0.000989582,0x10
"TX","data",0.092276758,0.000989582,0x99
