name,type,start_time,duration,"data"
"RX","data",0.000740314,0.000989582,0x11
"RX","data",0.001781986,0.000989582,0x21
"RX","data",0.002823668,0.000989582,0x11
"RX","data",0.00386534,0.000989582,0x08
"RX","data",0.00490702,0.000989582,0x11
"RX","data",0.005948688,0.000989582,0x02
"RX","data",0.00699037,0.000989582,0x10
"RX","data",0.008032048,0.000989582,0xB6
"RX","data",0.00907373,0.000989582,0x11
"RX","data",0.010115404,0.000989582,0x09
"RX","data",0.01115708,0.000989582,0x11
"RX","data",0.012198756,0.000989582,0x41
"RX","data",0.013240432,0.000989582,0x10
"RX","data",0.014282112,0.000989582,0x04
"RX","data",0.015323786,0.000989582,0x11
"RX","data",0.016365464,0.000989582,0x01
"RX","data",0.01740714,0.000989582,0xFD
"RX","data",0.01844881,0.000989582,0xF0
"TX","data",0.031828918,0.000989582,0x03
"TX","data",0.032884214,0.000989582,0x00
"TX","data",0.033939546,0.000989582,0x00
"TX","data",0.034994816,0.000989582,0x00
"TX","data",0.036050168,0.000989582,0x29
"TX","data",0.037105506,0.000989582,0x01
"TX","data",0.038160894,0.000989582,0x11
"TX","data",0.039216178,0.000989582,0x20
"TX","data",0.040271356,0.000989582,0xFF
"TX","data",0.04132679,0.000989582,0xFF
"TX","data",0.042382168,0.000989582,0x11
"TX","data",0.043437686,0.000989582,0x00
"TX","data",0.044493198,0.000989582,0x00
"TX","data",0.04554839,0.000989582,0x00
"TX","data",0.046603838,0.000989582,0x11
"TX","data",0.047659358,0.000989582,0x21
"TX","data",0.048714806,0.000989582,0xFF
"TX","data",0.049770058,0.000989582,0xFF
"TX","data",0.050825468,0.000989582,0x11
"TX","data",0.051880788,0.000989582,0x08
"TX","data",0.052936246,0.000989582,0x00
"TX","data",0.053991732,0.000989582,0x00
"TX","data",0.055047386,0.000989582,0x11
"TX","data",0.056102712,0.000989582,0x02
"TX","data",0.057158074,0.000989582,0xFF
"TX","data",0.058213504,0.000989582,0xFF
"TX","data",0.059269058,0.000989582,0x10
