name,type,start_time,duration,"data"
"RX","data",0.06833432,0.000989582,0x03
"RX","data",0.069376006,0.000989582,0x00
"RX","data",0.07041768,0.000989582,0x00
"RX","data",0.071459358,0.000989582,0x00
"RX","data",0.072501036,0.000989582,0x0E
"RX","data",0.073542708,0.000989582,0x00
"RX","data",0.074584388,0.000989582,0x01
"RX","data",0.07562606,0.000989582,0x52
"RX","data",0.076667738,0.000989582,0x00
"RX","data",0.077709416,0.000989582,0xF0
"RX","data",0.07875109,0.000989582,0x01
"RX","data",0.079792762,0.000989582,0x52
"RX","data",0.080834444,0.000989582,0x06
"RX","data",0.081876122,0.000989582,0x11
"RX","data",0.082917798,0.000989582,0x4D
"RX","data",0.083959472,0.000989582,0x10
"RX","data",0.085001148,0.000989582,0xB5
"RX","data",0.086042832,0.000989582,0x10
"RX","data",0.087084506,0.000989582,0x99
"RX","data",0.088126176,0.000989582,0xFC
"RX","data",0.089167858,0.000989582,0x86
"TX","data",0.108939634,0.000989582,0x03
"TX","data",0.109994614,0.000989582,0x00
"TX","data",0.111053814,0.000989582,0x00
"TX","data",0.112108766,0.000989582,0x00
"TX","data",0.113163898,0.000989582,0x1D
"TX","data",0.11421896,0.000989582,0x01
"TX","data",0.115274058,0.000989582,0x00
"TX","data",0.116329142,0.000989582,0x01
"TX","data",0.11738427,0.000989582,0x00
"TX","data",0.118439388,0.000989582,0x01
"TX","data",0.119494492,0.000989582,0x52
"TX","data",0.120549568,0.000989582,0x00
"TX","data",0.121604658,0.000989582,0xFF
"TX","data",0.122659774,0.000989582,0xFF
"TX","data",0.123715002,0.000989582,0xF0
"TX","data",0.12477016,0.000989582,0x01
"TX","data",0.12582503,0.000989582,0x00
"TX","data",0.126879988,0.000989582,0x00
"TX","data",0.127935026,0.000989582,0x52
"TX","data",0.12899005,0.000989582,0x06
"TX","data",0.130045128,0.000989582,0xFF
"TX","data",0.131112238,0.000989582,0xFF
"TX","data",0.132167504,0.000989582,0x11
"TX","data",0.13322255,0.000989582,0x4D
"TX","data",0.134277426,0.000989582,0x00
"TX","data",0.135332366,0.000989582,0x00
"TX","data",0.136387366,0.000989582,0x10
"TX","data",0.137442356,0.000989582,0xB5
"TX","data",0.138497392,0.000989582,0x00
"TX","data",0.139552378,0.000989582,0x00
"TX","data",0.140607338,0.000989582,0x10
"TX","data",0.141662508,0.000989582,0x99
"TX","data",0.14271769,0.000989582,0xFF
"TX","data",0.143772688,0.000989582,0xFF
"TX","data",0.144827786,0.000989582,0xF6
"TX","data",0.145882726,0.000989582,0x7B
"RX","data",0.399818082,0.000989582,0x05
"RX","data",0.400859756,0.000989582,0x00
"RX","data",0.401901428,0.000989582,0x00
"RX","data",0.402943098,0.000989582,0x00
"RX","data",0.403984788,0.000989582,0x14
"RX","data",0.40502646,0.000989582,0x52
"RX","data",0.406068136,0.000989582,0x01
"RX","data",0.407109814,0.000989582,0x00
"RX","data",0.408151492,0.000989582,0x00
"RX","data",0.409193162,0.000989582,0x52
"RX","data",0.410234844,0.000989582,0x30
