name,type,start_time,duration,"data","error"
"RX","data",0.00003242,0.000989582,0x64,"framing"
"RX","data",0.001490772,0.000989582,0x14,
"RX","data",0.002532446,0.000989582,0x0E,
"RX","data",0.00357412,0.000989582,0x11,
"RX","data",0.004615778,0.000989582,0x16,
"RX","data",0.005657474,0.000989582,0xFD,
"RX","data",0.006699152,0.000989582,0x3A,
"TX","data",0.023356312,0.000989582,0x03,
"TX","data",0.024411498,0.000989582,0x00,
"TX","data",0.025466598,0.000989582,0x00,
"TX","data",0.026521818,0.000989582,0x00,
"TX","data",0.027577016,0.000989582,0x51,
"TX","data",0.028632186,0.000989582,0x01,
"TX","data",0.029687522,0.000989582,0x10,
"TX","data",0.030742834,0.000989582,0x00,
"TX","data",0.031797992,0.000989582,0x00,
"TX","data",0.032853154,0.000989582,0x01,
"TX","data",0.03390824,0.000989582,0x10,
"TX","data",0.03496348,0.000989582,0x01,
"TX","data",0.036026872,0.000989582,0x00,
"TX","data",0.037081932,0.000989582,0x03,
"TX","data",0.03813722,0.000989582,0x10,
"TX","data",0.039192482,0.000989582,0x02,
"TX","data",0.040247688,0.000989582,0xFF,
"TX","data",0.041302942,0.000989582,0xFF,
"TX","data",0.042358128,0.000989582,0x10,
"TX","data",0.043413312,0.000989582,0x03,
"TX","data",0.044468526,0.000989582,0x00,
"TX","data",0.04552356,0.000989582,0x08,
"TX","data",0.046578932,0.000989582,0x10,
"TX","data",0.04763425,0.000989582,0x10,
"TX","data",0.048689528,0.000989582,0xFF,
"TX","data",0.049744736,0.000989582,0xFF,
"TX","data",0.050799834,0.000989582,0x10,
"TX","data",0.051854996,0.000989582,0x11,
"TX","data",0.052910174,0.000989582,0x00,
"TX","data",0.053965436,0.000989582,0x00,
"TX","data",0.05502054,0.000989582,0x10,
"TX","data",0.056087846,0.000989582,0x22,
"TX","data",0.057143108,0.000989582,0xFF,
"TX","data",0.05819827,0.000989582,0xFF,
"TX","data",0.05925359,0.000989582,0x10,
"TX","data",0.060308884,0.000989582,0x23,
"TX","data",0.061364062,0.000989582,0xFF,
"TX","data",0.06241937,0.000989582,0xFF,
"TX","data",0.063474474,0.000989582,0x10,
"TX","data",0.064529802,0.000989582,0x30,
"TX","data",0.06558523,0.000989582,0x00,
"TX","data",0.06664065,0.000989582,0x00,
"TX","data",0.0676959,0.000989582,0x10,
"TX","data",0.068751178,0.000989582,0x31,
"TX","data",0.069806398,0.000989582,0x00,
"TX","data",0.070861582,0.000989582,0x00,
"TX","data",0.071916874,0.000989582,0x10,
"TX","data",0.072972086,0.000989582,0x33,
"TX","data",0.07402739,0.000989582,0x1B,
"TX","data",0.075082876,0.000989582,0x71,
"TX","data",0.076150116,0.000989582,0x14,
"TX","data",0.077205338,0.000989582,0x00,
"TX","data",0.078260546,0.000989582,0x00,
"TX","data",0.079315696,0.000989582,0x00,
"TX","data",0.080370934,0.000989582,0x14,
"TX","data",0.08142609,0.000989582,0x01,
"TX","data",0.082481274,0.000989582,0x00,
"TX","data",0.083536546,0.000989582,0x00,
"TX","data",0.084592016,0.000989582,0x14,
"TX","data",0.08564737,0.000989582,0x02,
"TX","data",0.086702616,0.000989582,0x00,
"TX","data",0.087757944,0.000989582,0x00,
"TX","data",0.088813334,0.000989582,0x14,
"TX","data",0.089868678,0.000989582,0x03,
"TX","data",0.090924044,0.000989582,0x00,
"TX","data",0.091979362,0.000989582,0x00,
"TX","data",0.093034532,0.000989582,0x14,
"TX","data",0.094089644,0.000989582,0x04,
"TX","data",0.095144792,0.000989582,0x00,
"TX","data",0.096224206,0.000989582,0x00,
"TX","data",0.09727951,0.000989582,0x14,
"TX","data",0.098334844,0.000989582,0x05,
"TX","data",0.099390272,0.000989582,0x00,
"TX","data",0.100445536,0.000989582,0x00,
"TX","data",0.10150076,0.000989582,0x14,
"TX","data",0.10255601,0.000989582,0x06,
"TX","data",0.103611564,0.000989582,0x00,
"TX","data",0.104666642,0.000989582,0x00,
"TX","data",0.105721764,0.000989582,0x14,
"TX","data",0.106777034,0.000989582,0x0E,
"TX","data",0.107832278,0.000989582,0x00,
"TX","data",0.108887606,0.000989582,0x00,
"TX","data",0.109943002,0.000989582,0x11,
"TX","data",0.110998278,0.000989582,0x16,
"TX","data",0.112053576,0.000989582,0xFF,
"TX","data",0.11310895,0.000989582,0xFF,
"TX","data",0.114164184,0.000989582,0xF2,
"TX","data",0.115219426,0.000989582,0x82,
"RX","data",0.317766094,0.000989582,0x03,
"RX","data",0.318807778,0.000989582,0x00,
"RX","data",0.31984945,0.000989582,0x00,
"RX","data",0.320891132,0.000989582,0x00,
"RX","data",0.321932802,0.000989582,0x14,
"RX","data",0.322974486,0.000989582,0x11,
"RX","data",0.32401615,0.000989582,0x20,
"RX","data",0.325057834,0.000989582,0x11,
"RX","data",0.326099508,0.000989582,0x00,
"RX","data",0.327141188,0.000989582,0x11,
"RX","data",0.328182868,0.000989582,0x21,
"RX","data",0.32922454,0.000989582,0x11,
"RX","data",0.330266218,0.000989582,0x08,
"RX","data",0.331307898,0.000989582,0x11,
"RX","data",0.33234954,0.000989582,0x02,
"RX","data",0.33339125,0.000989582,0x10,
"RX","data",0.334432924,0.000989582,0xB6,
"RX","data",0.3354746,0.000989582,0x11,
"RX","data",0.336516276,0.000989582,0x09,
"RX","data",0.337557958,0.000989582,0x11,
"RX","data",0.33859962,0.000989582,0x41,
"RX","data",0.339641304,0.000989582,0x10,
"RX","data",0.340682986,0.000989582,0x04,
"RX","data",0.341724664,0.000989582,0x11,
"RX","data",0.342766342,0.000989582,0x01,
"RX","data",0.343808014,0.000989582,0xFD,
"RX","data",0.34484969,0.000989582,0xF0,
"TX","data",0.365835498,0.000989582,0x03,
"TX","data",0.366890692,0.000989582,0x00,
"TX","data",0.367945594,0.000989582,0x00,
"TX","data",0.369000744,0.000989582,0x00,
"TX","data",0.370055538,0.000989582,0x29,
"TX","data",0.3711108,0.000989582,0x01,
"TX","data",0.372165808,0.000989582,0x11,
"TX","data",0.373220862,0.000989582,0x20,
"TX","data",0.374275994,0.000989582,0xFF,
