name,type,start_time,duration,"data"
"RX","data",0.115207662,0.000989582,0x05
"RX","data",0.11624935,0.000989582,0x00
"RX","data",0.117291032,0.000989582,0x00
"RX","data",0.118332702,0.000989582,0x00
"RX","data",0.119374374,0.000989582,0x14
"RX","data",0.120416036,0.000989582,0x52
"RX","data",0.121457736,0.000989582,0x01
"RX","data",0.122499404,0.000989582,0x00
"RX","data",0.123541082,0.000989582,0x00
"RX","data",0.12458276,0.000989582,0x52
"RX","data",0.125624434,0.000989582,0x30
"RX","data",0.126666112,0.000989582,0x00
"RX","data",0.127707764,0.000989582,0x03
"RX","data",0.128749466,0.000989582,0x52
"RX","data",0.12979114,0.000989582,0x31
"RX","data",0.130832816,0.000989582,0x00
"RX","data",0.131874492,0.000989582,0x03
"RX","data",0.132916174,0.000989582,0x52
"RX","data",0.13395784,0.000989582,0x33
"RX","data",0.134999522,0.000989582,0x00
"RX","data",0.1360412,0.000989582,0x00
"RX","data",0.13708288,0.000989582,0xF2
"RX","data",0.138124554,0.000989582,0x00
"RX","data",0.139166228,0.000989582,0x01
"RX","data",0.140207908,0.000989582,0x00
"RX","data",0.141249584,0.000989582,0xFD
"RX","data",0.142291256,0.000989582,0x10
"TX","data",0.157168794,0.000989582,0x05
"TX","data",0.158223682,0.000989582,0x00
"TX","data",0.159278946,0.000989582,0x00
"TX","data",0.16033434,0.000989582,0x00
"TX","data",0.161389492,0.000989582,0x01
"TX","data",0.16244472,0.000989582,0x01
"TX","data",0.16349985,0.000989582,0xFF
"TX","data",0.164555012,0.000989582,0xF8
"RX","data",0.453253998,0.000989582,0x03
"RX","data",0.454295676,0.000989582,0x00
"RX","data",0.455337338,0.000989582,0x00
"RX","data",0.456379032,0.000989582,0x00
"RX","data",0.457420706,0.000989582,0x28
"RX","data",0.458462372,0.000989582,0x10
"RX","data",0.459504062,0.000989582,0x00
"RX","data",0.460545736,0.000989582,0x10
"RX","data",0.46158741,0.000989582,0x01
"RX","data",0.46262909,0.000989582,0x10
"RX","data",0.46367077,0.000989582,0x02
"RX","data",0.464712442,0.000989582,0x10
"RX","data",0.465754114,0.000989582,0x03
"RX","data",0.466795792,0.000989582,0x10
"RX","data",0.467837474,0.000989582,0x10
"RX","data",0.468879148,0.000989582,0x10
"RX","data",0.46992082,0.000989582,0x11
"RX","data",0.470962502,0.000989582,0x10
"RX","data",0.47200417,0.000989582,0x22
"RX","data",0.473045852,0.000989582,0x10
"RX","data",0.474087528,0.000989582,0x23
"RX","data",0.475129208,0.000989582,0x10
"RX","data",0.476170876,0.000989582,0x30
"RX","data",0.477212558,0.000989582,0x10
"RX","data",0.478254238,0.000989582,0x31
"RX","data",0.47929591,0.000989582,0x10
"RX","data",0.480337592,0.000989582,0x33
"RX","data",0.48137926,0.000989582,0x14
"RX","data",0.482420938,0.000989582,0x00
"RX","data",0.483462618,0.000989582,0x14
"RX","data",0.484504288,0.000989582,0x01
"RX","data",0.48554597,0.000989582,0x14
"RX","data",0.48658765,0.000989582,0x02
"RX","data",0.487629322,0.000989582,0x14
"RX","data",0.488670996,0.000989582,0x03
"RX","data",0.48971268,0.000989582,0x14
"RX","data",0.490754356,0.000989582,0x04
"RX","data",0.491796028,0.000989582,0x14
"RX","data",0.492837706,0.000989582,0x05
"RX","data",0.493879378,0.000989582,0x14
"RX","data",0.494921062,0.000989582,0x06
"RX","data",0.495962736,0.000989582,0x14
"RX","data",0.497004416,0.000989582,0x0E
"RX","data",0.498046092,0.000989582,0x11
"RX","data",0.499087762,0.000989582,0x16
"RX","data",0.50012944,0.000989582,0xFD
"RX","data",0.501171116,0.000989582,0x3A
"TX","data",0.505778062,0.000989582,0x03
"TX","data",0.50683308,0.000989582,0x00
"TX","data",0.507888084,0.000989582,0x00
"TX","data",0.508943256,0.000989582,0x00
"TX","data",0.509998204,0.000989582,0x51
"TX","data",0.511053208,0.000989582,0x01
"TX","data",0.512108332,0.000989582,0x10
"TX","data",0.513163442,0.000989582,0x00
