name,type,start_time,duration,"data","error"
"RX","data",9.292871466,0.000989582,0xFF,
"RX","data",9.29386249,0.000989582,0xFF,
"RX","data",9.294853034,0.000989582,0x00,"framing"
"RX","data",9.29584411,0.000989582,0x00,"framing"
"RX","data",29.22216154,0.000989582,0x00,
"RX","data",29.223203218,0.000989582,0x00,
"RX","data",29.224244904,0.000989582,0x00,
"RX","data",29.225286564,0.000989582,0x00,
"RX","data",29.226328244,0.000989582,0x04,
"RX","data",29.227369916,0.000989582,0x00,
"RX","data",29.22841159,0.000989582,0x00,
"RX","data",29.229453272,0.000989582,0x00,
"RX","data",29.23049494,0.000989582,0x00,
"RX","data",29.231536622,0.000989582,0xFF,
"RX","data",29.232578292,0.000989582,0xFB,
"TX","data",29.242543008,0.000989582,0x00,
"TX","data",29.24359782,0.000989582,0x00,
"TX","data",29.244652702,0.000989582,0x00,
"TX","data",29.245707388,0.000989582,0x00,
"TX","data",29.246762226,0.000989582,0x01,
"TX","data",29.247817246,0.000989582,0x01,
"TX","data",29.248872088,0.000989582,0xFF,
"TX","data",29.249927156,0.000989582,0xFD,
"RX","data",29.542186332,0.000989582,0x01,
"RX","data",29.543228012,0.000989582,0x00,
"RX","data",29.544269674,0.000989582,0x00,
"RX","data",29.54531136,0.000989582,0x00,
"RX","data",29.54635304,0.000989582,0x08,
"RX","data",29.547394714,0.000989582,0x00,
"RX","data",29.548436386,0.000989582,0x01,
"RX","data",29.549478064,0.000989582,0x00,
"RX","data",29.550519744,0.000989582,0x01,
"RX","data",29.551561408,0.000989582,0x00,
"RX","data",29.552603084,0.000989582,0x04,
"RX","data",29.553644764,0.000989582,0x00,
"RX","data",29.554686442,0.000989582,0x00,
"RX","data",29.555728112,0.000989582,0xFF,
"RX","data",29.556769784,0.000989582,0xF0,
"TX","data",29.576237324,0.000989582,0x01,
"TX","data",29.577292184,0.000989582,0x00,
"TX","data",29.578347174,0.000989582,0x00,
"TX","data",29.579402378,0.000989582,0x00,
"TX","data",29.580457044,0.000989582,0x01,
"TX","data",29.581512252,0.000989582,0x01,
"TX","data",29.582567272,0.000989582,0xFF,
"TX","data",29.583622546,0.000989582,0xFC,
"RX","data",29.867107052,0.000989582,0x03,
"RX","data",29.868148724,0.000989582,0x00,
"RX","data",29.869190408,0.000989582,0x00,
"RX","data",29.870232078,0.000989582,0x00,
"RX","data",29.871273758,0.000989582,0x04,
"RX","data",29.872315444,0.000989582,0x00,
"RX","data",29.8733571,0.000989582,0x01,
"RX","data",29.874398784,0.000989582,0x00,
"RX","data",29.87544046,0.000989582,0x04,
"RX","data",29.876482134,0.000989582,0xFF,
"RX","data",29.877523806,0.000989582,0xF3,
"TX","data",29.893267156,0.000989582,0x03,
"TX","data",29.89432193,0.000989582,0x00,
"TX","data",29.89537693,0.000989582,0x00,
"TX","data",29.896431926,0.000989582,0x00,
"TX","data",29.897487128,0.000989582,0x09,
"TX","data",29.898542066,0.000989582,0x01,
"TX","data",29.899601234,0.000989582,0x00,
"TX","data",29.900656162,0.000989582,0x01,
"TX","data",29.901711226,0.000989582,0x00,
"TX","data",29.90276629,0.000989582,0x01,
"TX","data",29.903821232,0.000989582,0x00,
"TX","data",29.904876546,0.000989582,0x04,
"TX","data",29.905931372,0.000989582,0xFF,
"TX","data",29.90698646,0.000989582,0xFF,
"TX","data",29.908041462,0.000989582,0xFD,
"TX","data",29.909096452,0.000989582,0xEE,
"RX","data",30.277161618,0.000989582,0x03,
"RX","data",30.2782033,0.000989582,0x00,
"RX","data",30.279244966,0.000989582,0x00,
"RX","data",30.280286654,0.000989582,0x00,
"RX","data",30.28132833,0.000989582,0x0E,
"RX","data",30.282369996,0.000989582,0x00,
"RX","data",30.283411674,0.000989582,0x01,
"RX","data",30.284453354,0.000989582,0x52,
"RX","data",30.285495028,0.000989582,0x00,
"RX","data",30.286536706,0.000989582,0xF0,
"RX","data",30.287578374,0.000989582,0x01,
"RX","data",30.288620052,0.000989582,0x52,
"RX","data",30.28966172,0.000989582,0x06,
"RX","data",30.290703402,0.000989582,0x11,
"RX","data",30.291745078,0.000989582,0x4D,
"RX","data",30.29278675,0.000989582,0x10,
"RX","data",30.293828422,0.000989582,0xB5,
"RX","data",30.294870096,0.000989582,0x10,
"RX","data",30.295911776,0.000989582,0x99,
"RX","data",30.296953446,0.000989582,0xFC,
"RX","data",30.297995132,0.000989582,0x86,
"TX","data",30.309109918,0.000989582,0x03,
"TX","data",30.310164684,0.000989582,0x00,
"TX","data",30.311219776,0.000989582,0x00,
"TX","data",30.312274808,0.000989582,0x00,
"TX","data",30.313329848,0.000989582,0x1D,
"TX","data",30.314384828,0.000989582,0x01,
"TX","data",30.315439766,0.000989582,0x00,
"TX","data",30.316494694,0.000989582,0x01,
"TX","data",30.317549798,0.000989582,0x00,
"TX","data",30.318604866,0.000989582,0x01,
"TX","data",30.319659934,0.000989582,0x52,
"TX","data",30.320714894,0.000989582,0x00,
"TX","data",30.321770214,0.000989582,0xFF,
"TX","data",30.322825208,0.000989582,0xFF,
"TX","data",30.323880146,0.000989582,0xF0,
"TX","data",30.324935146,0.000989582,0x01,
"TX","data",30.325989946,0.000989582,0x00,
"TX","data",30.32704495,0.000989582,0x00,
"TX","data",30.328099894,0.000989582,0x52,
"TX","data",30.329154656,0.000989582,0x06,
"TX","data",30.330209672,0.000989582,0xFF,
"TX","data",30.331264586,0.000989582,0xFF,
"TX","data",30.332319596,0.000989582,0x11,
"TX","data",30.333374658,0.000989582,0x4D,
"TX","data",30.334429622,0.000989582,0x00,
"TX","data",30.335484592,0.000989582,0x00,
"TX","data",30.3365396,0.000989582,0x10,
"TX","data",30.337594632,0.000989582,0xB5,
"TX","data",30.338649658,0.000989582,0x00,
"TX","data",30.3397046,0.000989582,0x00,
"TX","data",30.34075955,0.000989582,0x10,
"TX","data",30.341814704,0.000989582,0x99,
"TX","data",30.342869764,0.000989582,0xFF,
"TX","data",30.34392471,0.000989582,0xFF,
"TX","data",30.344979708,0.000989582,0xF6,
"TX","data",30.346034592,0.000989582,0x7B,
"RX","data",30.612186904,0.000989582,0x05,
"RX","data",30.613228584,0.000989582,0x00,
"RX","data",30.61427026,0.000989582,0x00,
"RX","data",30.615311926,0.000989582,0x00,
"RX","data",30.616353612,0.000989582,0x04,
"RX","data",30.617395294,0.000989582,0x52,
"RX","data",30.618436954,0.000989582,0x06,
"RX","data",30.619478636,0.000989582,0x00,
"RX","data",30.620520312,0.000989582,0x00,
"RX","data",30.621561986,0.000989582,0xFF,
"RX","data",30.622603664,0.000989582,0x9E,
"TX","data",30.635460932,0.000989582,0x05,
"TX","data",30.636515782,0.000989582,0x00,
"TX","data",30.63757071,0.000989582,0x00,
"TX","data",30.638625502,0.000989582,0x00,
"TX","data",30.639680632,0.000989582,0x01,
"TX","data",30.640735696,0.000989582,0x00,
"TX","data",30.641790562,0.000989582,0xFF,
"TX","data",30.642845614,0.000989582,0xF9,
"RX","data",30.936170354,0.000989582,0x05,
"RX","data",30.937212028,0.000989582,0x00,
"RX","data",30.938253708,0.000989582,0x00,
"RX","data",30.939295382,0.000989582,0x00,
"RX","data",30.940337064,0.000989582,0x14,
"RX","data",30.941378732,0.000989582,0x52,
"RX","data",30.942420404,0.000989582,0x01,
"RX","data",30.943462086,0.000989582,0x00,
"RX","data",30.94450376,0.000989582,0x00,
"RX","data",30.945545434,0.000989582,0x52,
"RX","data",30.946587108,0.000989582,0x30,
"RX","data",30.947628786,0.000989582,0x00,
"RX","data",30.948670452,0.000989582,0x00,
"RX","data",30.94971213,0.000989582,0x52,
"RX","data",30.950753806,0.000989582,0x31,
"RX","data",30.951795478,0.000989582,0x00,
"RX","data",30.952837172,0.000989582,0x03,
"RX","data",30.953878832,0.000989582,0x52,
"RX","data",30.95492051,0.000989582,0x33,
"RX","data",30.955962188,0.000989582,0x00,
"RX","data",30.957003856,0.000989582,0x00,
"RX","data",30.958045498,0.000989582,0xF2,
"RX","data",30.959087202,0.000989582,0x00,
"RX","data",30.960128886,0.000989582,0x01,
"RX","data",30.961170564,0.000989582,0x00,
"RX","data",30.962212236,0.000989582,0xFD,
"RX","data",30.963253912,0.000989582,0x13,
"TX","data",30.979940562,0.000989582,0x05,
"TX","data",30.98099555,0.000989582,0x00,
"TX","data",30.982050602,0.000989582,0x00,
"TX","data",30.98310592,0.000989582,0x00,
"TX","data",30.984160952,0.000989582,0x01,
"TX","data",30.985216054,0.000989582,0x01,
"TX","data",30.986271,0.000989582,0xFF,
"TX","data",30.987326032,0.000989582,0xF8,
"RX","data",31.276195556,0.000989582,0x03,
"RX","data",31.277237228,0.000989582,0x00,
"RX","data",31.27827891,0.000989582,0x00,
"RX","data",31.279320584,0.000989582,0x00,
"RX","data",31.28036226,0.000989582,0x28,
"RX","data",31.28140394,0.000989582,0x10,
"RX","data",31.282445612,0.000989582,0x00,
"RX","data",31.283487282,0.000989582,0x10,
"RX","data",31.284528966,0.000989582,0x01,
"RX","data",31.285570634,0.000989582,0x10,
"RX","data",31.286612312,0.000989582,0x02,
"RX","data",31.287653982,0.000989582,0x10,
"RX","data",31.288695666,0.000989582,0x03,
"RX","data",31.289737334,0.000989582,0x10,
"RX","data",31.290779014,0.000989582,0x10,
"RX","data",31.29182069,0.000989582,0x10,
"RX","data",31.292862368,0.000989582,0x11,
"RX","data",31.293904038,0.000989582,0x10,
"RX","data",31.294945712,0.000989582,0x22,
"RX","data",31.29598739,0.000989582,0x10,
"RX","data",31.297029042,0.000989582,0x23,
"RX","data",31.298070742,0.000989582,0x10,
"RX","data",31.299112416,0.000989582,0x30,
"RX","data",31.300154088,0.000989582,0x10,
"RX","data",31.301195764,0.000989582,0x31,
"RX","data",31.30223744,0.000989582,0x10,
"RX","data",31.303279112,0.000989582,0x33,
"RX","data",31.304320792,0.000989582,0x14,
"RX","data",31.305362462,0.000989582,0x00,
"RX","data",31.30640414,0.000989582,0x14,
"RX","data",31.30744582,0.000989582,0x01,
"RX","data",31.308487488,0.000989582,0x14,
"RX","data",31.309529166,0.000989582,0x02,
"RX","data",31.31057084,0.000989582,0x14,
"RX","data",31.311612518,0.000989582,0x03,
"RX","data",31.312654194,0.000989582,0x14,
"RX","data",31.313695864,0.000989582,0x04,
"RX","data",31.314737546,0.000989582,0x14,
"RX","data",31.315779216,0.000989582,0x05,
"RX","data",31.316820892,0.000989582,0x14,
"RX","data",31.317862568,0.000989582,0x06,
"RX","data",31.31890424,0.000989582,0x14,
"RX","data",31.319945922,0.000989582,0x0E,
"RX","data",31.320987602,0.000989582,0x11,
"RX","data",31.322029264,0.000989582,0x16,
"RX","data",31.323070946,0.000989582,0xFD,
"RX","data",31.324112614,0.000989582,0x3A,
"TX","data",31.339861768,0.000989582,0x03,
"TX","data",31.340916662,0.000989582,0x00,
"TX","data",31.341971792,0.000989582,0x00,
"TX","data",31.343026924,0.000989582,0x00,
"TX","data",31.344082176,0.000989582,0x51,
"TX","data",31.345137248,0.000989582,0x01,
"TX","data",31.346192108,0.000989582,0x10,
"TX","data",31.347247032,0.000989582,0x00,
"TX","data",31.34830196,0.000989582,0x00,
"TX","data",31.349356774,0.000989582,0x01,
"TX","data",31.350411756,0.000989582,0x10,
"TX","data",31.351466722,0.000989582,0x01,
"TX","data",31.35252166,0.000989582,0x00,
"TX","data",31.353576792,0.000989582,0x04,
"TX","data",31.354631846,0.000989582,0x10,
"TX","data",31.355686616,0.000989582,0x02,
"TX","data",31.35674153,0.000989582,0x00,
"TX","data",31.357796474,0.000989582,0xC3,
"TX","data",31.358851424,0.000989582,0x10,
"TX","data",31.359906534,0.000989582,0x03,
"TX","data",31.360961494,0.000989582,0x00,
"TX","data",31.362016594,0.000989582,0x00,
"TX","data",31.36307153,0.000989582,0x10,
"TX","data",31.364126452,0.000989582,0x10,
"TX","data",31.365181472,0.000989582,0xFF,
"TX","data",31.36623668,0.000989582,0xFF,
"TX","data",31.367291768,0.000989582,0x10,
"TX","data",31.36834676,0.000989582,0x11,
"TX","data",31.369401652,0.000989582,0x00,
"TX","data",31.370456648,0.000989582,0x00,
"TX","data",31.371511614,0.000989582,0x10,
"TX","data",31.372566668,0.000989582,0x22,
"TX","data",31.373621676,0.000989582,0xFF,
"TX","data",31.374676728,0.000989582,0xFF,
"TX","data",31.375731702,0.000989582,0x10,
"TX","data",31.376790752,0.000989582,0x23,
"TX","data",31.377845508,0.000989582,0xFF,
"TX","data",31.37890075,0.000989582,0xFF,
"TX","data",31.379955632,0.000989582,0x10,
"TX","data",31.38101087,0.000989582,0x30,
"TX","data",31.38206581,0.000989582,0x00,
"TX","data",31.383120932,0.000989582,0x00,
"TX","data",31.38417613,0.000989582,0x10,
"TX","data",31.385231112,0.000989582,0x31,
"TX","data",31.386286086,0.000989582,0x00,
"TX","data",31.387340912,0.000989582,0x00,
"TX","data",31.388396042,0.000989582,0x10,
"TX","data",31.389451028,0.000989582,0x33,
"TX","data",31.390505894,0.000989582,0xFF,
"TX","data",31.391560854,0.000989582,0xFF,
"TX","data",31.392615922,0.000989582,0x14,
"TX","data",31.393670994,0.000989582,0x00,
"TX","data",31.394725956,0.000989582,0x00,
"TX","data",31.39578165,0.000989582,0x00,
"TX","data",31.396849092,0.000989582,0x14,
"TX","data",31.397904132,0.000989582,0x01,
"TX","data",31.398959196,0.000989582,0x00,
"TX","data",31.400014212,0.000989582,0x00,
"TX","data",31.401069172,0.000989582,0x14,
"TX","data",31.402124238,0.000989582,0x02,
"TX","data",31.403179328,0.000989582,0x00,
