name,type,start_time,duration,"data"
"RX","data",0.0415395,0.000989582,0x03
"RX","data",0.042581182,0.000989582,0x00
"RX","data",0.043622864,0.000989582,0x00
"RX","data",0.044664536,0.000989582,0x00
"RX","data",0.045706212,0.000989582,0x0E
"RX","data",0.04674789,0.000989582,0x00
"RX","data",0.047789564,0.000989582,0x01
"RX","data",0.048831244,0.000989582,0x52
"RX","data",0.049872916,0.000989582,0x00
"RX","data",0.050914594,0.000989582,0xF0
"RX","data",0.051956238,0.000989582,0x01
"RX","data",0.052997952,0.000989582,0x52
"RX","data",0.054039626,0.000989582,0x06
"RX","data",0.0550813,0.000989582,0x11
"RX","data",0.056122982,0.000989582,0x4D
"RX","data",0.057164658,0.000989582,0x10
"RX","data",0.058206326,0.000989582,0xB5
"RX","data",0.059248012,0.000989582,0x10
"RX","data",0.060289692,0.000989582,0x99
"RX","data",0.061331364,0.000989582,0xFC
"RX","data",0.062373036,0.000989582,0x86
"TX","data",0.075549122,0.000989582,0x03
"TX","data",0.076604196,0.000989582,0x00
"TX","data",0.077659424,0.000989582,0x00
"TX","data",0.078714518,0.000989582,0x00
"TX","data",0.079769632,0.000989582,0x1D
"TX","data",0.080824802,0.000989582,0x01
"TX","data",0.081880092,0.000989582,0x00
"TX","data",0.082935248,0.000989582,0x01
"TX","data",0.083990564,0.000989582,0x00
"TX","data",0.085045838,0.000989582,0x01
"TX","data",0.086100966,0.000989582,0x52
"TX","data",0.0871561,0.000989582,0x00
"TX","data",0.088211348,0.000989582,0xFF
"TX","data",0.08927463,0.000989582,0xFF
"TX","data",0.090329866,0.000989582,0xF0
"TX","data",0.091385028,0.000989582,0x01
"TX","data",0.092440314,0.000989582,0x00
"TX","data",0.093495632,0.000989582,0x00
"TX","data",0.09455077,0.000989582,0x52
"TX","data",0.095605972,0.000989582,0x06
"TX","data",0.096661148,0.000989582,0xFF
"TX","data",0.097716242,0.000989582,0xFF
"TX","data",0.098771536,0.000989582,0x11
"TX","data",0.09982667,0.000989582,0x4D
"TX","data",0.100881944,0.000989582,0x00
"TX","data",0.101937108,0.000989582,0x00
"TX","data",0.102992326,0.000989582,0x10
"TX","data",0.104047486,0.000989582,0xB5
"TX","data",0.1051026,0.000989582,0x00
"TX","data",0.106157724,0.000989582,0x00
"TX","data",0.10721297,0.000989582,0x10
"TX","data",0.108268182,0.000989582,0x99
"TX","data",0.109335414,0.000989582,0xFF
"TX","data",0.110390514,0.000989582,0xFF
"TX","data",0.111445648,0.000989582,0xF6
"TX","data",0.112500994,0.000989582,0x7B
"RX","data",0.373544216,0.000989582,0x05
"RX","data",0.374585876,0.000989582,0x00
"RX","data",0.375627566,0.000989582,0x00
