name,type,start_time,duration,"data","error"
"RX","data",0.000178848,0.000989582,0x44,
"RX","data",0.001220524,0.000989582,0x40,
"RX","data",0.002262194,0.000989582,0x7F,"framing"
"TX","data",0.00822148,0.000989582,0x03,
"TX","data",0.009276434,0.000989582,0x00,
"TX","data",0.010331404,0.000989582,0x00,
"TX","data",0.011386282,0.000989582,0x00,
"TX","data",0.012441558,0.000989582,0x29,
"TX","data",0.013496464,0.000989582,0x01,
"TX","data",0.014551574,0.000989582,0x11,
"TX","data",0.015606744,0.000989582,0x20,
"TX","data",0.016661824,0.000989582,0xFF,
"TX","data",0.017716856,0.000989582,0xFF,
"TX","data",0.018771892,0.000989582,0x11,
"TX","data",0.019826758,0.000989582,0x00,
"TX","data",0.020881736,0.000989582,0x00,
"TX","data",0.021936908,0.000989582,0x01,
"TX","data",0.022991716,0.000989582,0x11,
"TX","data",0.02404678,0.000989582,0x21,
"TX","data",0.02510185,0.000989582,0xFF,
"TX","data",0.026156688,0.000989582,0xFF,
"TX","data",0.027211764,0.000989582,0x11,
"TX","data",0.02826664,0.000989582,0x08,
"TX","data",0.029321654,0.000989582,0x00,
"TX","data",0.03037672,0.000989582,0x01,
"TX","data",0.031431876,0.000989582,0x11,
"TX","data",0.032486892,0.000989582,0x02,
"TX","data",0.033542076,0.000989582,0xFF,
"TX","data",0.034597034,0.000989582,0xFF,
"TX","data",0.035652042,0.000989582,0x10,
"TX","data",0.036706978,0.000989582,0xB6,
"TX","data",0.037762014,0.000989582,0xFF,
"TX","data",0.03881712,0.000989582,0xFF,
"TX","data",0.039872158,0.000989582,0x11,
"TX","data",0.040926956,0.000989582,0x09,
"TX","data",0.04198194,0.000989582,0x00,
"TX","data",0.04303689,0.000989582,0x00,
"TX","data",0.044091974,0.000989582,0x11,
"TX","data",0.045146952,0.000989582,0x41,
"TX","data",0.046201958,0.000989582,0xFF,
"TX","data",0.047256924,0.000989582,0xFF,
"TX","data",0.048311968,0.000989582,0x10,
"TX","data",0.049367076,0.000989582,0x04,
"TX","data",0.05042205,0.000989582,0xFF,
"TX","data",0.051477108,0.000989582,0xFF,
"TX","data",0.052531998,0.000989582,0x11,
"TX","data",0.053587,0.000989582,0x01,
"TX","data",0.054641812,0.000989582,0x00,
"TX","data",0.05569678,0.000989582,0x00,
"TX","data",0.056751882,0.000989582,0xF1,
"TX","data",0.057806898,0.000989582,0xE4,
"RX","data",0.36520828,0.000989582,0x03,
"RX","data",0.366249958,0.000989582,0x00,
"RX","data",0.367291636,0.000989582,0x00,
"RX","data",0.368333318,0.000989582,0x00,
"RX","data",0.36937499,0.000989582,0x06,
"RX","data",0.370416668,0.000989582,0x01,
"RX","data",0.371458348,0.000989582,0xAC,
"RX","data",0.372500018,0.000989582,0x01,
"RX","data",0.373541696,0.000989582,0xAD,
"RX","data",0.374583374,0.000989582,0xF1,
"RX","data",0.375625054,0.000989582,0x50,
"RX","data",0.37666672,0.000989582,0xFD,
"RX","data",0.377708404,0.000989582,0x5A,
"TX","data",0.389915442,0.000989582,0x03,
"TX","data",0.39097445,0.000989582,0x00,
"TX","data",0.392033448,0.000989582,0x00,
"TX","data",0.393088476,0.000989582,0x00,
"TX","data",0.394143552,0.000989582,0x0D,
"TX","data",0.39519878,0.000989582,0x01,
"TX","data",0.396253918,0.000989582,0x01,
"TX","data",0.397308676,0.000989582,0xAC,
"TX","data",0.398363664,0.000989582,0x00,
"TX","data",0.39941861,0.000989582,0x01,
"TX","data",0.40047368,0.000989582,0x01,
"TX","data",0.401528696,0.000989582,0xAD,
"TX","data",0.402583704,0.000989582,0x00,
"TX","data",0.403638774,0.000989582,0x01,
"TX","data",0.404693982,0.000989582,0xF1,
"TX","data",0.40574913,0.000989582,0x50,
"TX","data",0.40680437,0.000989582,0x00,
"TX","data",0.40785935,0.000989582,0x00,
"TX","data",0.408914218,0.000989582,0xFD,
"TX","data",0.409969218,0.000989582,0x50,
"RX","data",0.688254452,0.000989582,0x03,
"RX","data",0.68929614,0.000989582,0x00,
"RX","data",0.690337816,0.000989582,0x00,
"RX","data",0.691379492,0.000989582,0x00,
"RX","data",0.692421162,0.000989582,0x28,
"RX","data",0.693462844,0.000989582,0x01,
"RX","data",0.69450452,0.000989582,0x10,
"RX","data",0.6955462,0.000989582,0x01,
"RX","data",0.696587874,0.000989582,0x11,
"RX","data",0.69762955,0.000989582,0x01,
"RX","data",0.698671228,0.000989582,0x12,
"RX","data",0.699712906,0.000989582,0x01,
"RX","data",0.700754582,0.000989582,0x13,
"RX","data",0.701796254,0.000989582,0x01,
"RX","data",0.702837936,0.000989582,0x14,
"RX","data",0.70387961,0.000989582,0x01,
"RX","data",0.704921286,0.000989582,0x15,
"RX","data",0.705962958,0.000989582,0x01,
"RX","data",0.70700462,0.000989582,0x17,
"RX","data",0.708046318,0.000989582,0x01,
"RX","data",0.709087992,0.000989582,0x1A,
"RX","data",0.710129672,0.000989582,0x01,
"RX","data",0.711171352,0.000989582,0x1D,
"RX","data",0.712213024,0.000989582,0x01,
"RX","data",0.7132547,0.000989582,0x20,
"RX","data",0.714296376,0.000989582,0x01,
"RX","data",0.715338054,0.000989582,0x31,
"RX","data",0.716379712,0.000989582,0x01,
"RX","data",0.71742141,0.000989582,0x43,
"RX","data",0.718463082,0.000989582,0x01,
"RX","data",0.71950476,0.000989582,0x50,
"RX","data",0.72054643,0.000989582,0x01,
"RX","data",0.721588114,0.000989582,0x51,
"RX","data",0.722629796,0.000989582,0x01,
"RX","data",0.723671462,0.000989582,0x53,
"RX","data",0.72471314,0.000989582,0x01,
"RX","data",0.72575482,0.000989582,0x70,
"RX","data",0.726796492,0.000989582,0x01,
"RX","data",0.727838174,0.000989582,0x71,
"RX","data",0.72887985,0.000989582,0x01,
"RX","data",0.729921522,0.000989582,0x93,
"RX","data",0.730963202,0.000989582,0x01,
"RX","data",0.732004878,0.000989582,0x90,
"RX","data",0.733046554,0.000989582,0x10,
"RX","data",0.734088232,0.000989582,0x22,
"RX","data",0.73512988,0.000989582,0xFB,
"RX","data",0.736171582,0.000989582,0x46,
"TX","data",0.757424382,0.000989582,0x03,
"TX","data",0.758479462,0.000989582,0x00,
"TX","data",0.759534536,0.000989582,0x00,
"TX","data",0.760589448,0.000989582,0x00,
"TX","data",0.76164469,0.000989582,0x51,
"TX","data",0.76269971,0.000989582,0x01,
"TX","data",0.763754956,0.000989582,0x01,
"TX","data",0.764810026,0.000989582,0x10,
"TX","data",0.765865082,0.000989582,0x00,
