name,type,start_time,duration,"data"
"RX","data",0.162951864,0.000989582,0x05
"RX","data",0.163993552,0.000989582,0x00
"RX","data",0.165035216,0.000989582,0x00
"RX","data",0.166076906,0.000989582,0x00
"RX","data",0.167118588,0.000989582,0x14
"RX","data",0.168160258,0.000989582,0x52
"RX","data",0.169201936,0.000989582,0x01
"RX","data",0.170243618,0.000989582,0x00
"RX","data",0.17128529,0.000989582,0x00
"RX","data",0.172326976,0.000989582,0x52
"RX","data",0.173368642,0.000989582,0x30
"RX","data",0.174410324,0.000989582,0x00
"RX","data",0.175452,0.000989582,0x03
"RX","data",0.17649368,0.000989582,0x52
"RX","data",0.177535356,0.000989582,0x31
"RX","data",0.178577036,0.000989582,0x00
"RX","data",0.179618718,0.000989582,0x03
"RX","data",0.180660388,0.000989582,0x52
"RX","data",0.181702066,0.000989582,0x33
"RX","data",0.18274375,0.000989582,0x00
"RX","data",0.183785428,0.000989582,0x00
"RX","data",0.184827098,0.000989582,0xF2
"RX","data",0.185868782,0.000989582,0x00
"RX","data",0.186910456,0.000989582,0x01
"RX","data",0.187952134,0.000989582,0x00
"RX","data",0.188993812,0.000989582,0xFD
"RX","data",0.190035486,0.000989582,0x10
"TX","data",0.203207106,0.000989582,0x05
"TX","data",0.204266284,0.000989582,0x00
"TX","data",0.205321428,0.000989582,0x00
"TX","data",0.20637663,0.000989582,0x00
"TX","data",0.207431622,0.000989582,0x01
"TX","data",0.208486794,0.000989582,0x01
"TX","data",0.209541818,0.000989582,0xFF
"TX","data",0.210596958,0.000989582,0xF8
"RX","data",0.499435876,0.000989582,0x03
"RX","data",0.500477564,0.000989582,0x00
"RX","data",0.501519246,0.000989582,0x00
"RX","data",0.502560918,0.000989582,0x00
"RX","data",0.503602592,0.000989582,0x28
"RX","data",0.504644254,0.000989582,0x10
"RX","data",0.505685954,0.000989582,0x00
"RX","data",0.506727626,0.000989582,0x10
"RX","data",0.50776931,0.000989582,0x01
"RX","data",0.50881099,0.000989582,0x10
"RX","data",0.509852658,0.000989582,0x02
"RX","data",0.510894336,0.000989582,0x10
"RX","data",0.511936016,0.000989582,0x03
"RX","data",0.5129777,0.000989582,0x10
"RX","data",0.514019374,0.000989582,0x10
"RX","data",0.515061022,0.000989582,0x10
"RX","data",0.516102726,0.000989582,0x11
"RX","data",0.517144406,0.000989582,0x10
"RX","data",0.518186086,0.000989582,0x22
"RX","data",0.51922776,0.000989582,0x10
"RX","data",0.520269432,0.000989582,0x23
"RX","data",0.52131111,0.000989582,0x10
"RX","data",0.522352792,0.000989582,0x30
"RX","data",0.52339447,0.000989582,0x10
"RX","data",0.524436148,0.000989582,0x31
"RX","data",0.525477818,0.000989582,0x10
"RX","data",0.5265195,0.000989582,0x33
"RX","data",0.52756118,0.000989582,0x14
"RX","data",0.528602856,0.000989582,0x00
"RX","data",0.529644532,0.000989582,0x14
"RX","data",0.53068621,0.000989582,0x01
"RX","data",0.53172789,0.000989582,0x14
"RX","data",0.532769574,0.000989582,0x02
"RX","data",0.533811238,0.000989582,0x14
"RX","data",0.534852924,0.000989582,0x03
"RX","data",0.535894602,0.000989582,0x14
"RX","data",0.536936276,0.000989582,0x04
"RX","data",0.537977952,0.000989582,0x14
"RX","data",0.53901963,0.000989582,0x05
"RX","data",0.540061306,0.000989582,0x14
"RX","data",0.541102984,0.000989582,0x06
"RX","data",0.542144662,0.000989582,0x14
"RX","data",0.543186338,0.000989582,0x0E
"RX","data",0.544228016,0.000989582,0x11
"RX","data",0.545269694,0.000989582,0x16
"RX","data",0.54631138,0.000989582,0xFD
"RX","data",0.547353048,0.000989582,0x3A
"TX","data",0.563145376,0.000989582,0x03
"TX","data",0.564200546,0.000989582,0x00
"TX","data",0.56525575,0.000989582,0x00
"TX","data",0.566311028,0.000989582,0x00
"TX","data",0.567365938,0.000989582,0x51
"TX","data",0.568421206,0.000989582,0x01
"TX","data",0.569476432,0.000989582,0x10
"TX","data",0.570531902,0.000989582,0x00
"TX","data",0.571587304,0.000989582,0x00
"TX","data",0.572642592,0.000989582,0x01
"TX","data",0.57369777,0.000989582,0x10
"TX","data",0.574753026,0.000989582,0x01
"TX","data",0.575808286,0.000989582,0x00
"TX","data",0.57686348,0.000989582,0x04
"TX","data",0.577918848,0.000989582,0x10
"TX","data",0.578974242,0.000989582,0x02
"TX","data",0.580029526,0.000989582,0x00
"TX","data",0.581084698,0.000989582,0xC3
"TX","data",0.582139852,0.000989582,0x10
"TX","data",0.58319502,0.000989582,0x03
"TX","data",0.584250404,0.000989582,0x00
"TX","data",0.585305552,0.000989582,0x00
"TX","data",0.58636093,0.000989582,0x10
"TX","data",0.587416104,0.000989582,0x10
"TX","data",0.588471436,0.000989582,0xFF
"TX","data",0.589526778,0.000989582,0xFF
"TX","data",0.590582072,0.000989582,0x10
"TX","data",0.59163732,0.000989582,0x11
"TX","data",0.592692564,0.000989582,0x00
"TX","data",0.593747804,0.000989582,0x00
"TX","data",0.594803044,0.000989582,0x10
"TX","data",0.59585801,0.000989582,0x22
"TX","data",0.596913346,0.000989582,0xFF
"TX","data",0.597968638,0.000989582,0xFF
"TX","data",0.599024032,0.000989582,0x10
"TX","data",0.600079236,0.000989582,0x23
"TX","data",0.601134358,0.000989582,0xFF
"TX","data",0.602189608,0.000989582,0xFF
"TX","data",0.603244794,0.000989582,0x10
"TX","data",0.604300128,0.000989582,0x30
"TX","data",0.605355372,0.000989582,0x00
"TX","data",0.606410648,0.000989582,0x00
"TX","data",0.607465968,0.000989582,0x10
"TX","data",0.60852931,0.000989582,0x31
"TX","data",0.609584456,0.000989582,0x00
"TX","data",0.610639672,0.000989582,0x00
"TX","data",0.6116949,0.000989582,0x10
"TX","data",0.612750212,0.000989582,0x33
"TX","data",0.613805454,0.000989582,0x1B
"TX","data",0.61486091,0.000989582,0x71
"TX","data",0.61591611,0.000989582,0x14
"TX","data",0.616971504,0.000989582,0x00
"TX","data",0.618026824,0.000989582,0x00
"TX","data",0.61908216,0.000989582,0x00
"TX","data",0.620137412,0.000989582,0x14
"TX","data",0.621192672,0.000989582,0x01
"TX","data",0.622247908,0.000989582,0x00
"TX","data",0.623303214,0.000989582,0x00
"TX","data",0.624358396,0.000989582,0x14
"TX","data",0.625413664,0.000989582,0x02
"TX","data",0.62646904,0.000989582,0x00
"TX","data",0.627524514,0.000989582,0x00
"TX","data",0.62858389,0.000989582,0x14
"TX","data",0.62963912,0.000989582,0x03
"TX","data",0.630694296,0.000989582,0x00
"TX","data",0.631749506,0.000989582,0x00
"TX","data",0.63280487,0.000989582,0x14
"TX","data",0.63385993,0.000989582,0x04
"TX","data",0.634915346,0.000989582,0x00
"TX","data",0.63597053,0.000989582,0x00
"TX","data",0.63702589,0.000989582,0x14
"TX","data",0.638081078,0.000989582,0x05
"TX","data",0.639136376,0.000989582,0x00
"TX","data",0.640191638,0.000989582,0x00
"TX","data",0.6412468,0.000989582,0x14
"TX","data",0.642302046,0.000989582,0x06
"TX","data",0.64335735,0.000989582,0x00
"TX","data",0.6444125,0.000989582,0x00
"TX","data",0.645467788,0.000989582,0x14
"TX","data",0.646522936,0.000989582,0x0E
"TX","data",0.647578238,0.000989582,0x00
"TX","data",0.648645574,0.000989582,0x00
"TX","data",0.64970073,0.000989582,0x11
"TX","data",0.650756058,0.000989582,0x16
"TX","data",0.651811448,0.000989582,0xFF
"TX","data",0.65286669,0.000989582,0xFF
"TX","data",0.65392185,0.000989582,0xF3
"TX","data",0.654977196,0.000989582,0xC4
"RX","data",0.85842025,0.000989582,0x03
"RX","data",0.859461928,0.000989582,0x00
"RX","data",0.860503608,0.000989582,0x00
"RX","data",0.86154529,0.000989582,0x00
"RX","data",0.86258696,0.000989582,0x14
"RX","data",0.863628638,0.000989582,0x11
"RX","data",0.864670318,0.000989582,0x20
"RX","data",0.865711996,0.000989582,0x11
"RX","data",0.866753666,0.000989582,0x00
"RX","data",0.867795348,0.000989582,0x11
"RX","data",0.868837028,0.000989582,0x21
"RX","data",0.869878702,0.000989582,0x11
"RX","data",0.870920384,0.000989582,0x08
"RX","data",0.871962058,0.000989582,0x11
