name,type,start_time,duration,"data"
"RX","data",0.249681286,0.000989582,0x03
"RX","data",0.250722964,0.000989582,0x00
"RX","data",0.251764636,0.000989582,0x00
"RX","data",0.252806302,0.000989582,0x00
"RX","data",0.253847996,0.000989582,0x20
"RX","data",0.254889678,0.000989582,0x01
"RX","data",0.25593135,0.000989582,0xE0
"RX","data",0.256973024,0.000989582,0x01
"RX","data",0.258014702,0.000989582,0xE1
"RX","data",0.25905638,0.000989582,0x01
"RX","data",0.26009806,0.000989582,0xE2
"RX","data",0.26113973,0.000989582,0x01
"RX","data",0.262181412,0.000989582,0xE3
"RX","data",0.263223094,0.000989582,0x01
"RX","data",0.264264772,0.000989582,0xE4
"RX","data",0.265306442,0.000989582,0x01
"RX","data",0.266348118,0.000989582,0xE5
"RX","data",0.267389798,0.000989582,0x01
"RX","data",0.268431474,0.000989582,0xE6
"RX","data",0.269473148,0.000989582,0x01
"RX","data",0.27051483,0.000989582,0xE7
"RX","data",0.271556502,0.000989582,0x01
"RX","data",0.272598178,0.000989582,0xE8
"RX","data",0.273639852,0.000989582,0x01
"RX","data",0.274681538,0.000989582,0xE9
"RX","data",0.275723212,0.000989582,0x01
"RX","data",0.276764888,0.000989582,0xEA
"RX","data",0.27780656,0.000989582,0x01
"RX","data",0.27884825,0.000989582,0xEB
"RX","data",0.279889918,0.000989582,0x01
"RX","data",0.280931592,0.000989582,0xEC
"RX","data",0.281973272,0.000989582,0x01
"RX","data",0.28301495,0.000989582,0xED
"RX","data",0.284056626,0.000989582,0x01
"RX","data",0.2850983,0.000989582,0xEE
"RX","data",0.286139974,0.000989582,0x01
"RX","data",0.287181658,0.000989582,0xEF
"RX","data",0.28822333,0.000989582,0xF1
"RX","data",0.289265008,0.000989582,0x54
"TX","data",0.297321202,0.000989582,0x03
"TX","data",0.298376226,0.000989582,0x00
"TX","data",0.299431406,0.000989582,0x00
"TX","data",0.300486608,0.000989582,0x00
"TX","data",0.301542008,0.000989582,0x41
"TX","data",0.302597256,0.000989582,0x01
"TX","data",0.303652534,0.000989582,0x01
"TX","data",0.30470794,0.000989582,0xE0
"TX","data",0.305763184,0.000989582,0x00
"TX","data",0.30681847,0.000989582,0x41
"TX","data",0.307873724,0.000989582,0x01
"TX","data",0.308928812,0.000989582,0xE1
"TX","data",0.309984044,0.000989582,0x00
"TX","data",0.311039252,0.000989582,0x52
"TX","data",0.312094452,0.000989582,0x01
"TX","data",0.313149708,0.000989582,0xE2
"TX","data",0.314204902,0.000989582,0x00
"TX","data",0.31526016,0.000989582,0x55
"TX","data",0.316315412,0.000989582,0x01
"TX","data",0.317370684,0.000989582,0xE3
"TX","data",0.318425956,0.000989582,0x00
"TX","data",0.31948124,0.000989582,0x48
"TX","data",0.3205366,0.000989582,0x01
"TX","data",0.32159169,0.000989582,0xE4
"TX","data",0.322647176,0.000989582,0x00
"TX","data",0.323702536,0.000989582,0x32
"TX","data",0.324757774,0.000989582,0x01
"TX","data",0.325812862,0.000989582,0xE5
"TX","data",0.32686823,0.000989582,0x00
"TX","data",0.327923334,0.000989582,0x34
"TX","data",0.328978592,0.000989582,0x01
"TX","data",0.330033868,0.000989582,0xE6
"TX","data",0.331089204,0.000989582,0x00
"TX","data",0.332144226,0.000989582,0x4B
"TX","data",0.333199562,0.000989582,0x01
"TX","data",0.334254896,0.000989582,0xE7
"TX","data",0.335310252,0.000989582,0x00
"TX","data",0.336365606,0.000989582,0x48
"TX","data",0.33742084,0.000989582,0x01
